"texto","categoria","severidade"
"meu marido diz que por eu ser trans eu nunca vou ser suficiente","violencia_psicologica","leve"
"ele fala que sou homem e que nunca vou mudar isso","violencia_psicologica","leve"
"meu companheiro fica dizendo que travesti não é mulher de verdade","violencia_psicologica","leve"
"ele ri da minha voz e fala que sou ridícula de me achar mulher","violencia_psicologica","leve"
"ele diz que ninguém vai me querer porque sou trans","violencia_psicologica","leve"
"meu parceiro fala que minha família vai me abandonar quando souber que sou travesti","violencia_psicologica","leve"
"ele sempre compara meu corpo com o de mulheres cis e diz que eu sou inferior","violencia_psicologica","leve"
"ele diz que minha transição foi um erro e que nunca vou ser feliz assim","violencia_psicologica","leve"
"meu marido fala que me aceita mas fica humilhando minha identidade toda hora","violencia_psicologica","leve"
"ele diz que ser trans é doença e que eu preciso de internação","violencia_psicologica","leve"
"ele me chama pelo meu nome de registro masculino de propósito pra me humilhar","violencia_psicologica","moderada"
"meu parceiro usa meu nome antigo na frente de outras pessoas pra me envergonhar","violencia_psicologica","moderada"
"ele diz que vai contar pra minha família que sou trans se eu não fizer o que ele quer","violencia_psicologica","moderada"
"ele ameaça me expor como travesti no trabalho se eu tentar sair de casa","violencia_psicologica","moderada"
"meu companheiro proíbe eu de usar maquiagem ou roupa feminina dentro de casa","violencia_psicologica","moderada"
"ele me diz que sem ele eu não seria nada porque nenhum homem ficaria com uma trans","violencia_psicologica","moderada"
"ele esconde meus hormônios e diz que só me devolve se eu obedecer","violencia_psicologica","moderada"
"meu marido diz que vai revelar que sou trans aos meus filhos para me prejudicar","violencia_psicologica","moderada"
"ele ameaça me internar em clínica psiquiátrica dizendo que ser trans é loucura","violencia_psicologica","moderada"
"ele usa minha identidade trans pra me chantagear constantemente","violencia_psicologica","moderada"
"ele me tranca em casa e diz que nenhuma travesti merece sair porque é vergonha","violencia_psicologica","grave"
"meu parceiro ameaça me matar e diz que trans não tem direito de viver","violencia_psicologica","grave"
"ele disse que se eu tentar ir à defensoria ele vai me expor publicamente como trans","violencia_psicologica","grave"
"ele me isola de todas as minhas amigas trans e diz que elas me corrompem","violencia_psicologica","grave"
"meu companheiro diz que se eu denunciar ele vai contar pra todo mundo que sou travesti e destruir minha vida","violencia_psicologica","grave"
"ele me ameaça dizendo que vai denunciar minha identidade trans ao meu empregador","violencia_psicologica","grave"
"ele disse que vai me destruir se eu tentar sair porque todo mundo vai saber que sou trans","violencia_psicologica","grave"
"meu marido me empurrou quando eu falei sobre minha identidade de gênero","violencia_fisica","leve"
"ele me deu um tapa quando eu me recusei a usar o nome de registro","violencia_fisica","leve"
"meu companheiro me agarrou com força quando eu tentei sair de casa","violencia_fisica","leve"
"ele me jogou na parede e disse que travesti não tem direito de discutir","violencia_fisica","leve"
"meu parceiro me bateu com o cinto e disse que ia me fazer ser homem de volta","violencia_fisica","moderada"
"ele me agrediu fisicamente depois de descobrir que eu sou trans e não tinha me contado antes","violencia_fisica","moderada"
"meu companheiro me jogou escada abaixo gritando que travesti é aberração","violencia_fisica","moderada"
"ele me bateu com fio quando eu tentei usar maquiagem","violencia_fisica","moderada"
"meu marido destruiu meus hormônios e me agrediu fisicamente quando fui buscar","violencia_fisica","moderada"
"ele me estrangulou e disse que ia me matar porque ser trans é vergonha","violencia_fisica","moderada"
"meu parceiro me espancou com um objeto porque eu saí vestida como mulher","violencia_fisica","grave"
"ele me cortou o cabelo à força dizendo que travesti não vai ficar com cabelo de mulher na minha casa","violencia_fisica","grave"
"meu companheiro me agrediu com faca e disse que ia me desfigurar para eu parar de me achar mulher","violencia_fisica","grave"
"ele me bateu até eu perder os sentidos e ameaçou fazer pior se eu denunciasse","violencia_fisica","grave"
"meu marido tentou me matar dizendo que preferia me ver morta do que me ver sendo trans","violencia_fisica","grave"
"meu parceiro me força a fazer coisas sexuais dizendo que como sou trans não tenho direito de recusar","violencia_sexual","leve"
"ele trata meu corpo de forma fetichista e me humilha durante relações dizendo que sou um objeto trans","violencia_sexual","leve"
"meu marido diz que posso me considerar mulher mas na cama sou homem e não tenho como recusar","violencia_sexual","leve"
"ele ameaça me expor como trans se eu não ceder às exigências sexuais dele","violencia_sexual","moderada"
"meu companheiro tirou fotos minhas sem roupa sem minha permissão e ameaça divulgar dizendo que é uma travesti","violencia_sexual","moderada"
"ele me coage a fazer relações sexuais dizendo que se eu não aceitar vai contar que sou trans pra família","violencia_sexual","moderada"
"meu parceiro me forçou a praticar atos sexuais que me causam dor dizendo que é o mínimo que uma trans pode oferecer","violencia_sexual","moderada"
"meu marido me estuprou e disse que estava me fazendo um favor porque ninguém mais ficaria com uma travesti","violencia_sexual","grave"
"ele me filmou durante relação sem consentimento e ameaça publicar o vídeo revelando que sou trans","violencia_sexual","grave"
"meu companheiro compartilhou fotos íntimas minhas revelando que sou trans para me destruir depois que tentei sair","violencia_sexual","grave"
"ele não deixa eu trabalhar dizendo que trans não consegue emprego de verdade","violencia_patrimonial","leve"
"meu marido ficou com todo o meu dinheiro dizendo que travesti não merece ter independência","violencia_patrimonial","leve"
"ele controla meu dinheiro e diz que como sou trans dependo dele para sobreviver","violencia_patrimonial","leve"
"meu parceiro destruiu meus documentos com nome social retificado para eu ficar dependente dele","violencia_patrimonial","leve"
"ele esconde e controla meus hormônios como forma de me manter dependente e obediente","violencia_patrimonial","moderada"
"meu companheiro me tirou da conta bancária conjunta depois que soube que quero ir à defensoria","violencia_patrimonial","moderada"
"ele destruiu minha identidade com nome social e diz que sem documentos eu não posso fazer nada","violencia_patrimonial","moderada"
"meu marido me proíbe de trabalhar e usa minha dependência financeira para me ameaçar","violencia_patrimonial","moderada"
"ele vendeu todos os meus pertences pessoais incluindo minha medicação hormonal dizendo que como trans não mereço nada","violencia_patrimonial","grave"
"meu parceiro me deixou sem dinheiro e sem documentos e ameaça que sem ele eu vou morar na rua sendo travesti","violencia_patrimonial","grave"
"ele me fez assinar documentos transferindo minha parte do imóvel ameaçando me expor como trans se eu recusasse","violencia_patrimonial","grave"
"meu parceiro conta pra todo mundo da rua que sou travesti pra me envergonhar","violencia_moral","leve"
"ele fez comentários na internet me identificando como trans sem minha permissão","violencia_moral","leve"
"meu marido conta mentiras sobre minha vida sexual dizendo que todas as trans são prostitutas","violencia_moral","leve"
"ele me humilha na frente dos filhos dizendo que sou um homem que se acha mulher","violencia_moral","leve"
"meu companheiro foi ao meu emprego contar que sou trans para me fazer perder o trabalho","violencia_moral","moderada"
"ele ligou para minha família revelando que sou travesti como forma de punição depois de uma briga","violencia_moral","moderada"
"meu parceiro publicou nas redes sociais fotos antigas minhas antes da transição pra me expor","violencia_moral","moderada"
"ele espalhou para os vizinhos que sou trans e homem e que sou uma aberração","violencia_moral","moderada"
"meu marido me humilha em público usando meu nome de registro na frente de desconhecidos","violencia_moral","moderada"
"ele criou perfil falso nas redes sociais com minhas fotos revelando que sou trans para me destruir profissionalmente","violencia_moral","grave"
"meu companheiro foi à escola dos meus filhos revelar que sou travesti para que me tirem a guarda","violencia_moral","grave"
"ele fez uma campanha nas redes sociais me expondo como trans e incentivando pessoas a me agredir","violencia_moral","grave"
"meu ex-companheiro fica me seguindo nos bares e eventos LGBTQIA+ que frequento","stalking","leve"
"ele monitora meus perfis nas redes sociais com meu nome feminino e me manda mensagens hostis","stalking","leve"
"meu ex fica aparecendo nos lugares que frequento como trans para me intimidar","stalking","leve"
"ele criou perfis falsos para me seguir nas redes sociais depois que me assumi como trans","stalking","leve"
"meu ex-parceiro aparece na minha casa toda semana ameaçando me expor como travesti para os vizinhos","stalking","moderada"
"ele me manda fotos antigas de antes da transição como ameaça dizendo que vai publicar","stalking","moderada"
"meu ex me persegue até o trabalho e fica me esperando na saída ameaçando me expor","stalking","moderada"
"ele fica mandando mensagens dizendo que vai destruir minha vida de trans","stalking","moderada"
"meu companheiro me vigia constantemente e diz que sabe todos os meus movimentos como travesti","stalking","moderada"
"meu ex-parceiro me persegue armado e diz que vai me matar porque travesti não merece viver","stalking","grave"
"ele me segue até a casa de amigas trans e ameaça machucar quem me ajudar","stalking","grave"
"meu ex invadiu minha casa várias vezes e diz que vai me matar antes de me deixar viver como mulher trans em paz","stalking","grave"
